ResponseId,ClimateLong,Post,Climate_headline,Climate_fraction_ai,Climate_fraction_ai_assisted,Climate_fraction_human,Post_headline,Post_fraction_ai,Post_fraction_ai_assisted,Post_fraction_human
R_8rBjJ0oXAGylhWj,Health issues in general population,"I believe universities in general should focus on making everything more accessible on technology platforms, in order to reduce paper consumption.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8hEG2N4bXSuGusK,"Migration, Loss of Agricultural Land, Extreme Weather 
","Most people in my close circle care. They acknowledge the fact that our climate is changing rapidly and they feel personal responsibility on this matter. In order to do their part, they change their eating habits, means of travel or actively engage in political activities. While this is great and shows good intention, it only goes so far. People care only until they really have to give up something that they care about. I personally think many people care only to fit into a certain societal image and feel good about themselves. They stop caring as soon as it gets real. I am hopeful. I think we need to change the way we look at nature, the way we look at each other in order to change the state of climate change.",Fully AI Generated,1.0,0.0,0.0,Fully Human Written,0.0,0.0,1.0
R_8NJ6WYRqp8yQIq4,"Increase of global inequalities, melting of ice coverage, sea level rise, increase in extreme weather and natural catastrophes and therefore costs",Climate change is a huge threat that we're facing. Turning a blind eye to it is delusional.,Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8IvfmEnSzDrhPtE,"LebensrÃ¤ume werden zerstÃ¶rt, Tiere sterben aus und das ganze Ãkosystem bricht zusammen.",?,Fully Human Written,0.0,0.0,1.0,,,,
R_87jslCxCbhG5v6a,"Global heating, leading to more and more destructive and non predictable climatic events.","'-Using public transport or bike/walk
-Limit heating during winter to 19 degrees
-Be careful in the usage of water (not shower too long and similar)
-Don't exaggerate with air conditioning in summer",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8hAb2kr0WaiPRE0,"Extreme weather/ Heat, floods, droughts and famine","We all know there are countless consequences attributed to climate change. One that sticks in my head in particular is flooding. Many gorgeous islands like the Maldives or Tuvalu are under threat of being completely flooded and destroyed in the coming few decades, if climate change remains on its current course. Even countries way closer to home like the Netherlands are under threat of flooding. 

Even though we live in a comparatively less affected country, the effects can and will hit us eventually and partly already have. Extraordinarily hot summers have ravaged through Switzerland in the last few years, posing a risk to fires and to the dying of crops. But also very wet summers have caused landslides and floods already. 

In summary, it is extremely important to combat climate change, as not doing so will result in countless deaths and, for the rest of us, harsh lives.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8xKy0R1R5q15IeH,climate disaster and population displacement,Demonstrate so that the system changes. I believe that the little things that we do in our everyday life is not what contributes the most in the climate change but it's rather the big production companies and the very rich people that has the most impact and we should start by reducing their impact.,Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_34LTbDEdHWrlslO,"Extreme events, drop in life quality","We all see how rapidly the climate changes, both in Europe and outside. You cannot say, âitâs okay, weâre nit suffering to muchâ - we already are. It will worsen, so we need to be aware and act. Locally and globally.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_8ZwZcwCJcjSag4F,lack of food and habitable places,Fighting climate change is crucial to prevent extremely negative effects in our near future and drastic political decisions should be taken. It is useless if only the private households do something against climate change although there should be a general feeling of responsibility for our planet and its well-being.,Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_21Zv0oK0fm3EpIv,"Heat waves, drought, storms","Western countries have a great responsibility regarding climate change as they are largely responsible for it. Unfortunately, climate change mainly affects people in countries that already suffer from other issues like poverty. These people have never influenced climate change to the same extend as we have. It is therefore in our resposibility to adapt our daily behavior. Even small steps like taking the train instead of the car/plane have an impact.",Fully AI Generated,1.0,0.0,0.0,Fully Human Written,0.0,0.0,1.0
R_8SxOIU3j0jNEmu5,The rise of the seawater level leading to the inundation of some specific areas.,"Climate is well associated with our daily life. Its change is subtle but can influence the very aspects of the earth. Can you imagine the disappearance of some resort islands in the world due to the rise of seawater level? The increase in temperature can bring this to reality. You might think that one person's effort is too small, but if we collaborate together, we can make a huge difference to the world and make an impact for the future generation.",Fully AI Generated,1.0,0.0,0.0,Fully Human Written,0.0,0.0,1.0
R_8R3pRxM2Xn73wVp,"The wave of climate migrants, due to rising water levels and desertification, that will burden the parts of the world that are less affected by climate change and the economic implications of that","The best way students can combat global warming is by studying the causes and effects of global warming, and how to mitigate them. It is not in the human nature to decrease consumption, of goods, energy and resources, and in many cases this consumption is needed to provide a quality of life already enjoyed some parts of the world. Thus instead of pushing for regulation and a decrease in consumption, students should look to develop and implement climate friendly alternatives, that make economic sense.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_80Zu5h16UeritIH,"Currently, droughts, heat waves, stronger storms and rainfall, so in general stronger and more frequent weather extremes. But there will be an increase in errosion in the mountains and strongly ahifting weather patterns with adapting oceanic currents, which will accellerate and take over later.","Only a tiny amount of green house gas emissions are caused by the individual choiced of the average person. This can leave people feel powerless, cheated on or even in denial. This is the consequence of a complex problem with diffuse and subtle yet real impact. We can best influence things for the better by supporting long term solitions and long term thinking by decision makers, so that the system pivots into a more sustainable mode of operation.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
R_1s5osuCrgvVKSsK,"Extreme weather conditions leading to natural catastrophes, food shortages/droughts and wars over ressources (esp. water).","As young people in a privileged part of the world, I believe we have a special responsability to take action against practices and institutions which drive climate change. Even small steps can make a big difference: Travelling more by train or on foot, not taking part in overconsumption (e.g. excessive online shopping) or being more conscious what food one buys. Students often have monetary restrictions in this regard, but when you take all these steps at once, you might actually end up saving some money. If you have the means necessary, donating to an organisation battling climate change is a great option aswell. However, it's already very helpful to vote for parties and politicians fighting for our environment and to take part in referendums on this topic.",Fully Human Written,0.0,0.0,1.0,Fully Human Written,0.0,0.0,1.0
